text,index
"This is an example sentence.",1
"The quick brown fox jumps over the lazy dog.",2
"A journey of a thousand miles begins with a single step.",3
"To be or not to be, that is the question.",4
"All roads lead to Rome.",5
"Knowledge is power.",6
"Rome wasn't built in a day.",7
"When in Rome, do as the Romans do.",8
"Where there's a will, there's a way.",9
"You can't judge a book by its cover.",10
"Practice makes perfect.",11
"Actions speak louder than words.",12
"Beauty is in the eye of the beholder.",13
"Don't put all your eggs in one basket.",14
"Every cloud has a silver lining.",15
"Good things come to those who wait.",16
"Honesty is the best policy.",17
"If at first you don't succeed, try again.",18
"Laughter is the best medicine.",19
"Look before you leap.",20
"Money doesn't grow on trees.",21
"Necessity is the mother of invention.",22
"No pain, no gain.",23
"Old habits die hard.",24
"Opportunity knocks but once.",25
"Patience is a virtue.",26
"People who live in glass houses shouldn't throw stones.",27
"Prevention is better than cure.",28
"Rome wasn't built in a day.",29
"Slow and steady wins the race.",30
"Time flies when you're having fun.",31
"Two heads are better than one.",32
"Variety is the spice of life.",33
"Waste not, want not.",34
"What goes around comes around.",35
"When the going gets tough, the tough get going.",36
"You can lead a horse to water, but you can't make it drink.",37
"Absence makes the heart grow fonder.",38
"All good things must come to an end.",39
"Better late than never.",40
"Birds of a feather flock together.",41
"Cleanliness is next to godliness.",42
"Curiosity killed the cat.",43
"Discretion is the better part of valor.",44
"Early bird catches the worm.",45
"Easy come, easy go.",46
"Empty vessels make the most noise.",47
"Familiarity breeds contempt.",48
"Fortune favors the bold.",49
"Great minds think alike.",50
"Half a loaf is better than none.",51
"Health is wealth.",52
"Home is where the heart is.",53
"Idle hands are the devil's workshop.",54
"Ignorance is bliss.",55
"It's always darkest before dawn.",56
"Jack of all trades, master of none.",57
"Keep your friends close and your enemies closer.",58
"Kill two birds with one stone.",59
"Less is more.",60
"Let sleeping dogs lie.",61
"Life is what happens when you're busy making other plans.",62
"Love conquers all.",63
"Make hay while the sun shines.",64
"Many hands make light work.",65
"Misery loves company.",66
"Never put off till tomorrow what you can do today.",67
"Nothing ventured, nothing gained.",68
"Out of sight, out of mind.",69
"People who live in glass houses should not throw stones.",70
"Practice makes perfect.",71
"Proceed cautiously.",72
"Quality over quantity.",73
"Rome wasn't built in a day.",74
"Seeing is believing.",75
"Silence is golden.",76
"Still waters run deep.",77
"Strike while the iron is hot.",78
"Take care of the pennies and the pounds will take care of themselves.",79
"Talk is cheap.",80
"The apple doesn't fall far from the tree.",81
"The early bird catches the worm.",82
"The grass is always greener on the other side.",83
"The pen is mightier than the sword.",84
"There’s no place like home.",85
"Time heals all wounds.",86
"Too many cooks spoil the broth.",87
"Truth is stranger than fiction.",88
"United we stand, divided we fall.",89
"Variety is the spice of life.",90
"Well begun is half done.",91
"What's done cannot be undone.",92
"When in doubt, leave it out.",93
"Where there’s smoke, there’s fire.",94
"With age comes wisdom.",95
"Work smarter, not harder.",96
"You can't have your cake and eat it too.",97
"You scratch my back, I'll scratch yours.",98
"Your guess is as good as mine.",99
"Zero tolerance means zero mercy.",100
