text,index,translated
This is an example sentence.,1,Знакомство порождает презрение.
The quick brown fox jumps over the lazy dog.,2,"Люди, живущие в стеклянных домах, не должны бросать камни."
A journey of a thousand miles begins with a single step.,3,Слишком много поваров портят бульон.
"To be or not to be, that is the question.",4,Быть или не быть – вот в чем вопрос.
All roads lead to Rome.,5,Практика делает совершенным.
Knowledge is power.,6,Нельзя судить о книге по ее обложке.
Rome wasn't built in a day.,7,"Когда сомневаетесь, оставьте это."
"When in Rome, do as the Romans do.",8,"Можно привести лошадь к воде, но нельзя заставить ее пить."
"Where there's a will, there's a way.",9,Меньше значит больше.
You can't judge a book by its cover.,10,Молчание - золото.
Practice makes perfect.,11,"Хорошие вещи приходят к тем, кто ждет."
Actions speak louder than words.,12,"Твоя догадка так же хороша, как моя."
Beauty is in the eye of the beholder.,13,Удача благоволит смелым.
Don't put all your eggs in one basket.,14,Действуйте осторожно.
Every cloud has a silver lining.,15,Ранняя птица ловит червя.
Good things come to those who wait.,16,Необходимость — мать изобретения.
Honesty is the best policy.,17,Отсутствие заставляет сердце расти.
"If at first you don't succeed, try again.",18,Пусть спящие собаки лгут.
Laughter is the best medicine.,19,Все дороги ведут в Рим.
Look before you leap.,20,"Правда страннее, чем вымысел."
Money doesn't grow on trees.,21,"Профилактика лучше, чем лечение."
Necessity is the mother of invention.,22,Великие умы думают одинаково.
"No pain, no gain.",23,Качество превыше количества.
Old habits die hard.,24,Практика делает совершенным.
Opportunity knocks but once.,25,"Там, где дым, там и огонь."
Patience is a virtue.,26,Все хорошее должно закончиться.
People who live in glass houses shouldn't throw stones.,27,"Жизнь — это то, что происходит, когда вы заняты другими делами."
Prevention is better than cure.,28,Все еще вода течет глубоко.
Rome wasn't built in a day.,29,Честность — лучшая политика.
Slow and steady wins the race.,30,Нулевая терпимость означает нулевое милосердие.
Time flies when you're having fun.,31,"Половина буханки лучше, чем ничего."
Two heads are better than one.,32,Рим не был построен за один день.
Variety is the spice of life.,33,Яблоко не падает далеко от дерева.
"Waste not, want not.",34,Трава всегда зеленее с другой стороны.
What goes around comes around.,35,"Никакой боли, никакой выгоды."
"When the going gets tough, the tough get going.",36,"Лучше поздно, чем никогда."
"You can lead a horse to water, but you can't make it drink.",37,Любовь побеждает все.
Absence makes the heart grow fonder.,38,Знание – это сила.
All good things must come to an end.,39,"Мы едины, мы разделены, мы падаем."
Better late than never.,40,Рим не был построен за один день.
Birds of a feather flock together.,41,Здоровье – это богатство.
Cleanliness is next to godliness.,42,Это пример предложения.
Curiosity killed the cat.,43,Действия говорят громче слов.
Discretion is the better part of valor.,44,С возрастом приходит мудрость.
Early bird catches the worm.,45,Птицы с перьями слетаются вместе.
"Easy come, easy go.",46,"Делайте сено, пока светит солнце."
Empty vessels make the most noise.,47,"Ударь, пока железо горячее."
Familiarity breeds contempt.,48,"Если сначала у вас ничего не получится, попробуйте еще раз."
Fortune favors the bold.,49,Медленно и уверенно выигрывает гонку.
Great minds think alike.,50,"Дом там, где сердце."
Half a loaf is better than none.,51,Быстрая коричневая лиса прыгает через ленивую собаку.
Health is wealth.,52,Ручка сильнее меча.
Home is where the heart is.,53,Старые привычки умирают тяжело.
Idle hands are the devil's workshop.,54,Убить двух зайцев одним выстрелом.
Ignorance is bliss.,55,Многие руки заставляют работать свет.
